T,Mw,Rjb (km),FRV,FNM,ZTOR,?,Vs_30,Z2.5 (km),Ln(Sa)
0.01,6.06,0.99,0,0,4,46,345.419,2.417221,5.822919979
0.01,6.06,12.79,0,0,4,46,345.419,2.417221,4.845169651
0.01,6.06,34.48,0,0,4,46,338.539,2.417221,4.835913053
0.01,6.06,71.7,0,0,4,46,345.419,2.417221,3.579485781
0.01,6.06,29.56,0,0,4,46,338.539,2.417221,5.355581567
0.01,6.06,35.34,0,0,4,46,207.469,2.417221,4.541638744
0.01,6.06,41.74,0,0,4,46,345.419,2.417221,3.930343271
0.01,6.06,23.2,0,0,4,46,379.32,2.417221,4.019667884
0.01,6.06,32.65,0,0,4,46,345.419,2.417221,4.446002394
0.01,6.06,3.67,0,0,4,46,345.419,2.417221,5.324638365
0.01,6.06,54.67,0,0,4,46,684.935,2.417221,3.894335468
0.01,6.06,0,0,0,4,46,345.419,2.417221,6.362079745
0.01,6.06,10.08,0,0,4,46,207.469,2.417221,5.12139828
0.01,6.06,67.38,0,0,4,46,370.789,2.417221,4.152419499
0.01,6.06,77.98,0,0,4,46,390.18,1.16,2.923785078
0.01,6.06,64.83,0,0,4,46,370.789,0.76,3.710679736
0.01,6.06,22.96,0,0,4,46,370.789,2.417221,5.429763318
0.01,6.06,30.71,0,0,4,46,338.539,2.417221,4.028148749
0.01,6.06,38.94,0,0,4,46,684.935,2.417221,4.649281364
0.01,6.06,16.55,0,0,4,46,684.935,2.417221,4.796240188
0.01,6.06,37.66,0,0,4,46,271.441,2.417221,4.817876563
0.01,6.06,64.68,0,0,4,46,370.789,2.417221,4.641157138
0.01,6.06,0,0,0,4,46,345.419,2.417221,6.390584085
0.01,6.06,48.92,0,0,4,46,684.935,2.417221,4.428571512
0.01,6.06,38.01,0,0,4,46,338.539,2.417221,4.69652645
0.01,5.77,24.25,0,0,2,90,271.441,2.417221,3.989851464
0.01,5.77,23.38,0,0,2,90,271.441,2.417221,4.687351909
0.01,5.77,14.99,0,0,2,90,345.419,2.417221,4.286714513
0.01,5.77,24.37,0,0,2,90,338.539,2.417221,3.68301801
0.01,5.77,6.07,0,0,2,90,271.441,2.417221,5.454120934
0.01,6.19,21.55,0,0,4,55,271.441,2.417221,5.242221569
0.01,6.19,14.38,0,0,4,55,271.441,2.417221,5.308916625
0.01,6.19,14.97,0,0,4,55,345.419,2.417221,4.975384067
0.01,6.19,29.35,0,0,4,55,338.539,2.417221,4.133405808
0.01,6.19,22.08,0,0,4,55,338.539,2.417221,4.795632219
0.01,6.19,18.3,0,0,4,55,345.419,2.417221,4.296492318
0.01,6.19,18.3,0,0,4,55,345.419,2.417221,4.401921008
0.01,6.19,34.91,0,0,4,55,345.419,2.417221,3.891174199
0.01,6.19,28.2,0,0,4,55,359.23,2.417221,4.327461815
0.01,6.19,50.92,0,0,4,55,345.419,2.417221,3.638485598
0.01,6.19,6.44,0,0,4,55,271.441,2.417221,6.032668674
0.01,6.6,68.74,0,1,0,39,424.8,2.417221,3.589437049
0.01,6.6,16.09,0,1,0,39,424.8,2.417221,5.671926354
