T,Mw,Rrup (km),FRV,FNM,ZTOR,?,Vs_30,Z2.5 (km),Ln(Sa)
0.01,6.19,23.43,0,0,0.5,90,462.24,1.98,4.569528357
0.01,6.19,3.01,0,0,0.5,90,597.12,1.68,6.857323249
0.01,6.19,53.97,0,0,0.5,90,116.35,1.62,3.997449359
0.01,6.19,31.48,0,0,0.5,90,367.57,1.62,3.101046787
0.01,6.19,15.13,0,0,0.5,90,729.65,1.62,4.601230596
0.01,6.19,15.2,0,0,0.5,90,1428,1.62,4.387418372
0.01,6.19,14,0,0,0.5,90,270.84,1.62,5.212027397
0.01,6.19,13.35,0,0,0.5,90,349.85,1.62,5.25434993
0.01,6.19,11.91,0,0,0.5,90,221.78,1.88,5.601775862
0.01,6.19,10.3,0,0,0.5,90,663.31,1.63,5.623213494
0.01,6.19,12.43,0,0,0.5,90,333.85,1.88,4.955085818
0.01,6.19,4.57,0,0,0.5,90,281.61,1.68,5.344912924
0.01,6.19,26.59,0,0,0.5,90,215.54,1.62,4.522183082
0.01,6.19,26.59,0,0,0.5,90,215.54,1.62,4.35167897
0.01,6.19,26.59,0,0,0.5,90,215.54,1.62,4.603905867
0.01,6.19,26.59,0,0,0.5,90,215.54,1.62,4.51691367
0.01,6.19,26.59,0,0,0.5,90,215.54,1.62,4.478103782
0.01,6.19,63.23,0,0,0.5,90,271.441,2.417221,4.006021718
0.01,6.19,70.99,0,0,0.5,90,190.14,1.62,3.783292695
0.01,6.19,27.31,0,0,0.5,90,370.789,1.96,3.614538777
0.01,6.19,32.02,0,0,0.5,90,622.859,1.75,4.311069089
0.01,6.19,32.02,0,0,0.5,90,622.859,1.75,4.184550086
0.01,6.19,45.57,0,0,0.5,90,714,1.1,4.143649642
0.01,5.8,18.89,0,1,8,48,659.6,2.417221,4.504573494
0.01,5.8,51.29,0,1,8,48,200,2.417221,4.199649216
0.01,5.8,31.23,0,1,8,48,338.6,2.417221,4.207521866
0.01,5.8,32.74,0,1,8,48,338.6,2.417221,4.201989529
0.01,5.8,47.59,0,1,8,48,338.6,2.417221,3.573502314
0.01,6.76,9.6,1,0,2,25,659.6,2.417221,6.964366153
0.01,6.76,4.93,1,0,2,25,659.6,2.417221,5.975618654
0.01,6.76,7.68,1,0,2,25,659.6,2.417221,5.006321383
0.01,6.06,38.43,0,0,4,46,684.935,2.417221,4.788283105
0.01,6.06,52.06,0,0,4,46,684.935,2.417221,4.57776193
0.01,6.06,42.36,0,0,4,46,338.539,2.417221,4.476755813
0.01,6.06,7.84,0,0,4,46,345.419,2.417221,5.395396426
0.01,6.06,52.41,0,0,4,46,274.98,2.417221,3.915279726
0.01,6.06,27.5,0,0,4,46,370.789,2.417221,5.039537628
0.01,6.06,6.82,0,0,4,46,345.419,2.417221,5.822919979
0.01,6.06,14.24,0,0,4,46,345.419,2.417221,4.845169651
0.01,6.06,34.71,0,0,4,46,338.539,2.417221,4.835913053
0.01,6.06,72.97,0,0,4,46,345.419,2.417221,3.579485781
0.01,6.06,29.83,0,0,4,46,338.539,2.417221,5.355581567
0.01,6.06,35.57,0,0,4,46,207.469,2.417221,4.541638744
0.01,6.06,41.93,0,0,4,46,345.419,2.417221,3.930343271
0.01,6.06,26.88,0,0,4,46,379.32,2.417221,4.019667884
0.01,6.06,35.36,0,0,4,46,345.419,2.417221,4.446002394
0.01,6.06,12.07,0,0,4,46,345.419,2.417221,5.324638365
0.01,6.06,54.82,0,0,4,46,684.935,2.417221,3.894335468
0.01,6.06,4.04,0,0,4,46,345.419,2.417221,6.362079745
0.01,6.06,10.84,0,0,4,46,207.469,2.417221,5.12139828
0.01,6.06,67.5,0,0,4,46,370.789,2.417221,4.152419499
0.01,6.06,78.09,0,0,4,46,390.18,1.16,2.923785078
0.01,6.06,64.95,0,0,4,46,370.789,0.76,3.710679736
0.01,6.06,23.31,0,0,4,46,370.789,2.417221,5.429763318
0.01,6.06,30.97,0,0,4,46,338.539,2.417221,4.028148749
0.01,6.06,39.14,0,0,4,46,684.935,2.417221,4.649281364
0.01,6.06,17.03,0,0,4,46,684.935,2.417221,4.796240188
0.01,6.06,37.87,0,0,4,46,271.441,2.417221,4.817876563
0.01,6.06,64.8,0,0,4,46,370.789,2.417221,4.641157138
0.01,6.06,6.04,0,0,4,46,345.419,2.417221,6.390584085
0.01,6.06,49.08,0,0,4,46,684.935,2.417221,4.428571512
0.01,6.06,38.22,0,0,4,46,338.539,2.417221,4.69652645
0.01,5.77,24.43,0,0,2,90,271.441,2.417221,3.989851464
0.01,5.77,23.57,0,0,2,90,271.441,2.417221,4.687351909
0.01,5.77,15.29,0,0,2,90,345.419,2.417221,4.286714513
0.01,5.77,24.56,0,0,2,90,338.539,2.417221,3.68301801
0.01,5.77,6.77,0,0,2,90,271.441,2.417221,5.454120934
0.01,6.19,21.92,0,0,4,55,271.441,2.417221,5.242221569
0.01,6.19,17.17,0,0,4,55,271.441,2.417221,5.308916625
0.01,6.19,18.31,0,0,4,55,345.419,2.417221,4.975384067
0.01,6.19,31.19,0,0,4,55,338.539,2.417221,4.133405808
0.01,6.19,24.47,0,0,4,55,338.539,2.417221,4.795632219
0.01,6.19,21.12,0,0,4,55,345.419,2.417221,4.296492318
0.01,6.19,21.12,0,0,4,55,345.419,2.417221,4.401921008
0.01,6.19,36.47,0,0,4,55,345.419,2.417221,3.891174199
0.01,6.19,30.11,0,0,4,55,359.23,2.417221,4.327461815
0.01,6.19,51.98,0,0,4,55,345.419,2.417221,3.638485598
0.01,6.19,7.58,0,0,4,55,271.441,2.417221,6.032668674
0.01,6.6,70.49,0,1,0,39,424.8,2.417221,3.589437049
0.01,6.6,20.02,0,1,0,39,424.8,2.417221,5.671926354
0.01,5.99,14.66,0,0,14.5,30,550,2.892,5.949951759
0.01,5.99,19.52,0,0,14.5,30,370.789,0.32,5.375471472
0.01,5.99,29.6,0,0,14.5,30,234.8825426,3.091,4.079085701
0.01,5.99,17.42,0,0,14.5,30,367.53,2.04,5.568560099
0.01,5.99,36.97,0,0,14.5,30,297.71,3.182,4.521383883
0.01,5.99,16.72,0,0,14.5,30,308.6450892,2.84,4.615322843
0.01,5.99,17.79,0,0,14.5,30,308.6450892,5.031,5.528908345
0.01,5.99,29.9,0,0,14.5,30,545.66,0.32,4.712214649
0.01,5.99,32.7,0,0,14.5,30,355.81,1.04,4.672678692
0.01,5.99,28.5,0,0,14.5,30,445.983055,0.32,5.004092255
0.01,5.99,23.99,0,0,14.5,30,370.789,3.292,5.431134344
0.01,5.99,24,0,0,14.5,30,370.789,3.292,4.869819538
0.01,5.99,26.34,0,0,14.5,30,271.441,1,5.250688775
0.01,5.99,54.74,0,0,14.5,30,338.539,2.71,3.588775583
